"CUSTOMER_NO","CUSTOMER_NAME","ORDER_NO","LINE_NO","REL_NO","LINE_STATE","AGREEMENT_ID","CATALOG_NO","CATALOG_DESC","CONDITION_CODE","IFSAPP.CONDITION_CODE_API.GET_DESCRIPTION(CONDITION_CODE)","CONTRACT","BUY_QTY_DUE","IFSAPP.SALES_PART_API.GET_SALES_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","(L.BUY_QTY_DUE+(L.QTY_SHIPDIFF/DECODE(L.CONV_FACTOR,0,1,L.CONV_FACTOR*L.INVERTED_CONV_FACTOR))-L.QTY_INVOICED)*L.PRICE_CONV_FACT","IFSAPP.SALES_PART_API.GET_PRICE_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","NVL(L.BASE_SALE_UNIT_PRICE,0)*((100-NVL(L.DISCOUNT,0))/100)*((100-NVL(L.ORDER_DISCOUNT,0))/100)*((100-NVL(L.ADDITIONAL_DISCOUNT,","PLANNED_DELIVERY_DATE","IFSAPP.CUSTOMER_ORDER_LINE_API.GET_BACKLOG_VALUE_BASE_CURR__(ORDER_NO,LINE_NO,REL_NO,LINE_ITEM_NO)","IFSAPP.COMPANY_FINANCE_API.GET_CURRENCY_CODE(IFSAPP.SITE_API.GET_COMPANY(L.CONTRACT))","IFSAPP.CUST_ORD_CUSTOMER_API.GET_CUST_GRP(L.CUSTOMER_NO)","IFSAPP.SALES_PART_API.GET_CATALOG_GROUP(L.CONTRACT,L.CATALOG_NO)","REGION_CODE","DISTRICT_CODE","MARKET_CODE","DECODE(L.DEFAULT_ADDR_FLAG_DB,'N',DECODE(L.ADDR_FLAG_DB,'Y',IFSAPP.CUST_ORDER_LINE_ADDRESS_API.GET_COUNTRY_CODE(L.ORDER_NO,L.LIN","SALESMAN_CODE","AUTHORIZE_CODE","PRICE_LIST_NO","PRIORITY","LINE_ITEM_NO"
"GVI017","State Pharmaceuticals Corporation","C240239","3","1","Reserved","","PUN215","Cilacar Tab's 5mg (30's)","","","GSH1N","50","PACKS","50","PACKS","1226.5","7/30/2026","61325","LKR","GOVINS","ARR U (A)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240239","4","1","Reserved","","PUL101","Enervon-C Film Cap 30's","","","GSH1N","4","BOT","4","BOT","1974.9965","7/30/2026","7899.99","LKR","GOVINS","UL SALE","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240239","5","1","Reserved","","PUN109","Nicardia Retard 10mg 100's","","","GSH1N","10","PACKS","10","PACKS","1217.9","7/30/2026","12179","LKR","GOVINS","ARR U (B)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240239","6","1","Reserved","","PUN110","Nicardia-XL-30mg 30's","","","GSH1N","40","PACKS","40","PACKS","1369.05","7/30/2026","54762","LKR","GOVINS","ARRB2U","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"PHA004","Bavindu Pharmaceuitcals","A4890","1","1","Reserved","","HET006","BEVAAS 100MG","","","GSHD","2","VLS","2","VLS","25619.83","7/15/2026","51239.66","LKR","PHARMACIES","HETERO","","","PHARMACIES","LK","","INDBAN","","","0"
"GVI017","State Pharmaceuticals Corporation","C240239","7","1","Reserved","","400452","PRONTOSAN SOLUTION ROUND BOTTLE 350ml (1's)","","","GSH1N","2","BOT","2","BOT","3376.0776","7/30/2026","6752.16","LKR","GOVINS","AR PRO (B)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240239","8","1","Reserved","","400595","PRONTOSAN WOUND GEL BOTTLE 30ml (1's)","","","GSH1N","2","BOT","2","BOT","4319.3239","7/30/2026","8638.65","LKR","GOVINS","AR PRO (B)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240239","9","1","Reserved","","PIC002","Thermoseal R.A. 50gm","","","GSH1N","6","TUB","6","TUB","554.1129","7/30/2026","3324.68","LKR","GOVINS","ICPA - SAL","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"PVH069","Kings Hospital Colombo (Pvt) Ltd.","C240264","1","1","Reserved","","PUL105","Solmux Forte Susp. 60ml","","","GSH1N","30","BOT","30","BOT","1253","7/30/2026","37590","LKR","PVTHOS","UL SALE","","","","LK","","GEMABE050","INST NEW","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","1","1","Reserved","","TIL14","AMINOPLUS Syrup 200ml (1's)","","","GSH1N","10","BOT","10","BOT","1298.222","7/30/2026","12982.22","LKR","GOVINS","TIL HEALTH","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","2","1","Reserved","","PBL153","Caltamin D Tabs-60's","","","GSH1N","2","PACKS","2","PACKS","3094.66","7/30/2026","6189.32","LKR","GOVINS","BL SALE","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","3","1","Reserved","","PUN102","Metrogyl Suspension 100ml","","","GSH1N","1","BOT","1","BOT","656.4","7/30/2026","656.4","LKR","GOVINS","ARR U (B)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","4","1","Reserved","","PUN112","Metrogyl Tab 400mg 100's","","","GSH1N","10","PACKS","10","PACKS","1905.1","7/30/2026","19051","LKR","GOVINS","ARR U (B)","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","5","1","Reserved","","CFL131","Rovate Lotion 30ml","","","GSH1N","30","BOT","30","BOT","585.41","7/30/2026","17562.3","LKR","GOVINS","ADCOCK","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","6","1","Reserved","","CEN108","Sinarest Nasal Drops 10ml","","","GSH1N","20","BOT","20","BOT","220.16","7/30/2026","4403.2","LKR","GOVINS","UL-CEN","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","7","1","Reserved","","PUL116","Solmux Caps 500mg 100's","","","GSH1N","20","PACKS","20","PACKS","10184.6","7/30/2026","203692","LKR","GOVINS","UL SALE","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"PVH064","Nawaloka Hospitals PLC","C240275","1","1","Reserved","","MEN03","Fastum Gel 2.5% 20g","","","GSH1N","50","TUB","50","TUB","573.59","7/30/2026","28679.5","LKR","PVTHOS","MEN - SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","8","1","Reserved","","PUL105","Solmux Forte Susp. 60ml","","","GSH1N","10","BOT","10","BOT","1253","7/30/2026","12530","LKR","GOVINS","UL SALE","","","GVT INS","LK","","GEMABE050","SPC1","","0"
"GVI017","State Pharmaceuticals Corporation","C240249","9","1","Reserved","","PIC002","Thermoseal R.A. 50gm","","","GSH1N","3","TUB","3","TUB","554.1129","7/30/2026","1662.34","LKR","GOVINS","ICPA - SAL","","","GVT INS","LK","","GEMABE050","SPC1","","0"
